16 Personality Type Results,Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Reusable_Water_Bottle,Meals_Delivery_Service_Percent,Ride_Share_Percent
ISFJ-T,Business Administration,Accounting,Applied Analytics,,No,2025,Junior,3.88,20,No,Yes,Work,Finance: Accounting,Business/Corporate Services,0,No,No,Yes,No,No,No,4,0%,Yes,≤ 10%,20-30%,≤ 10%,Yes,30-40%,5,Female,21,CN,N/A,No,2,Youtube,Yes,Yes,No,Yes,50%,100%
INTJ-T,Communication,,Applied Analytics,,Yes,2024,Senior,3.95,17,No,No,Still Deciding,Technology: Software/Internet,Engineering,0,No,No,No,No,No,No,4,25%,Yes,> 50%,20-30%,≤ 10%,Yes,≤ 10%,4,Male,23,US,N/A,No,3,"News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,No,Yes,0%,0%
ISTJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.94,20,No,No,Work,Finance: FinTech,Business/Corporate Services,4-Jan,No,No,Yes,No,No,No,3,0%,No,10-20%,20-30%,10-20%,Yes,30-40%,3,Female,20,US,95148,Yes,2,"Twitter,Tiktok,TV,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,0%
ENFJ-A,Accounting,,Data Science,,No,2024,Senior,3.56,17,No,No,Work,Finance: Accounting,Finance Management,4-Jan,No,No,Yes,Yes,Yes,No,4,0%,No,≤ 10%,> 50%,10-20%,Depends,30-40%,4,Male,22,US,94568,Yes,2,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,0%,0%
INTP-T,Economics,,Applied Analytics,,No,2025,Junior,3.92,16,No,Yes,Work,Finance: IB/Bokerage,Finance Management,4-Jan,No,No,Yes,Yes,No,Yes,3,0%,No,≤ 10%,20-30%,≤ 10%,Depends,20-30%,3,Female,20,HK,N/A,No,3,"Instagram,Twitter,Google News,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,25%
ESTJ-A,Cognitive Science,,Applied Analytics ,,No,2024,Senior,3.47,16,No,No,Work,Technology: Software/Internet,Information and Communications Technology,8+,No,No,Yes,Yes,No,No,5,0%,Yes,10-20%,10-20%,≤ 10%,Yes,20-30%,5,Female,21,US,90007,Yes,2,"Instagram,Twitter,Tiktok",Yes,No,No,Yes,0%,0%
ISTJ-T,Physics,Astronomy ,Applied Analytics ,,No,2025,Junior,3.93,18,No,Yes,Graduate School,Other,Engineering,4-Jan,No,No,Yes,No,No,No,3,50%,Yes,20-30%,20-30%,≤ 10%,Yes,30-40%,4,Female,21,CN,N/A,No,2,"Instagram,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,0%
ENFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3,21,"Yes, from a 2 year college.",No,Work,Finance: Accounting,Business/Corporate Services,0,Yes,No,Yes,Yes,No,No,4,0%,Yes,> 50%,20-30%,≤ 10%,No,10-20%,3,Male,21,US,91007,Yes,3,"Instagram,Facebook,Twitter,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,25%
ISTJ-A,Economics ,Data Science,None,None,No,2024,Senior,3.74,14,"Yes, from a 4 year college.",No,Work,Consulting,Marketing,0,No,No,No,Yes,Yes,No,3,0%,Yes,10-20%,20-30%,≤ 10%,Yes,>50%,5,Male,23,KR,N/A,Yes,2,"Youtube,Google News",Yes,Yes,No,No,0%,0%
ENFJ-A,Political Science,Psychology,Applied Analytics,,No,2024,Senior,3.98,16,No,No,Work,Government,Business/Corporate Services,8+,Yes,No,No,No,No,Yes,5,0%,Yes,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Male,21,US,14472,No,2,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,No,No,Yes,0%,25%
